business_id,business_age,industry,industry_risk_score,annual_revenue,profit_margin,invoice_payment_behavior,credit_history,past_loan_defaults,loan_repayment_rate,initial_investment,total_assets,total_liabilities,debt_to_equity_ratio,payment_history,amount_owed,length_of_credit_history,new_credit,credit_mix,risk_category
MSME_0020,7,Manufacturing,4,6148641,15.06038124,25,Good,No,68,NA,19899105,23927418,2.76,61,626920,6,4,5,High
MSME_0021,10,Healthcare,2,9865819,23.25039872,36,Good,Yes,97,NA,43952681,5397734,1.79,51,833475,5,3,5,High
MSME_0022,9,Healthcare,2,9503243,27.84990844,41,Average,Yes,95,NA,4682196,15135313,1,77,127761,18,4,1,Medium
MSME_0023,16,Fintech,7,2766913,11.44029804,33,Poor,No,73,NA,29925776,9723624,2.06,50,850493,6,0,4,High
MSME_0024,22,Fintech,7,9301008,25.79605199,28,Poor,No,64,NA,17264867,14955241,0.68,76,349304,17,4,4,High
MSME_0025,14,IT Services,5,3191126,13.74727215,23,Average,Yes,52,NA,3934036,11300304,1.79,58,819716,9,5,4,High
MSME_0026,29,AI Startups,8,4482544,7.892633621,10,Good,Yes,53,NA,34652057,20915682,2,77,241635,7,2,4,High
MSME_0027,18,Fintech,7,8551048,25.57802936,33,Good,No,78,NA,3772990,11886243,0.74,66,911892,13,1,5,High
MSME_0028,24,Manufacturing,4,9340696,20.63036399,27,Poor,Yes,54,NA,1052600,27761849,0.28,95,590719,8,5,5,High
MSME_0029,17,Fintech,7,2464219,14.42037065,40,Poor,No,75,NA,38414217,24296431,2.64,71,915951,11,1,5,High
MSME_0030,18,Healthcare,2,6168645,12.3038956,18,Average,No,76,NA,2198711,27696982,0.8,57,830438,10,1,4,High
MSME_0031,29,Retail,3,8313925,20.20661752,38,Good,No,67,NA,3935080,8519517,1.6,85,826751,20,2,2,High
MSME_0032,11,IT Services,5,4572742,7.941901806,20,Poor,No,93,NA,18055505,20925782,1.82,74,758001,15,4,1,High
MSME_0033,23,Retail,3,6933320,7.37020198,5,Average,Yes,64,NA,13827782,28898770,1.22,80,245297,10,2,5,High
MSME_0034,18,Retail,3,8257981,20.24548267,19,Good,No,100,NA,13128886,24639285,0.78,66,309933,16,1,3,Medium
MSME_0035,20,IT Services,5,4634363,11.39946987,24,Good,Yes,80,NA,5811784,10309572,0.61,98,123663,20,4,4,High
MSME_0036,29,Fintech,7,5903609,8.41768949,48,Good,No,54,NA,36922733,11580539,2.17,81,844984,3,5,4,High
MSME_0037,24,Fintech,7,9541974,5.35695993,33,Average,Yes,87,NA,31245453,7963318,1.63,80,947687,13,0,4,Medium
MSME_0038,22,AI Startups,8,6476544,19.31932971,18,Good,Yes,64,NA,23176661,17579604,1.9,84,707612,13,0,5,High
MSME_0039,23,Manufacturing,4,1998611,16.02321025,29,Poor,No,93,NA,3818690,26169760,0.8,80,24003,14,1,5,High
MSME_0040,12,AI Startups,8,2226061,15.12224453,28,Poor,Yes,51,NA,16171366,3932217,2.61,87,455166,5,4,1,High
MSME_0041,25,IT Services,5,4202791,26.29415504,8,Average,No,50,NA,48387551,14085001,2.5,91,594935,14,0,3,High
MSME_0042,9,AI Startups,8,881543,16.60049247,5,Average,Yes,61,NA,14818249,24191793,0.37,94,187721,2,0,5,High
MSME_0043,9,Manufacturing,4,3449651,13.30301724,48,Poor,No,50,NA,47382888,16027839,1.97,77,169627,7,2,2,High
MSME_0044,26,IT Services,5,5246050,25.72347503,21,Good,Yes,63,NA,13524050,9730327,1.71,100,48130,1,4,1,High
MSME_0045,15,Retail,3,3618507,15.06546581,30,Poor,No,89,NA,11921585,14843855,2.02,86,448370,4,0,3,High
MSME_0046,12,Retail,3,7007644,18.77445622,26,Poor,No,72,NA,41898758,16016229,0.86,82,203275,7,5,1,High
MSME_0047,8,Retail,3,623980,29.61712051,22,Average,Yes,82,NA,5122603,29262726,2.32,94,690548,5,3,2,High
MSME_0048,8,AI Startups,8,7002203,9.902388972,29,Poor,No,70,NA,16640428,17103240,1.46,95,77269,15,3,5,High
MSME_0049,5,Healthcare,2,9169299,19.60170616,31,Average,No,67,NA,44606437,22319948,1.12,99,906566,1,1,4,High
MSME_0050,23,IT Services,5,4523252,27.24018469,41,Good,Yes,86,NA,2196894,21157351,0.9,94,556820,1,0,1,High
MSME_0051,12,IT Services,5,8573935,7.476170156,38,Good,Yes,91,NA,23048593,6513312,2.53,93,374249,14,4,1,High
MSME_0052,16,Fintech,7,2516854,29.64762659,11,Poor,Yes,95,NA,39494352,21174843,2.77,87,914235,9,5,5,High
MSME_0053,28,Fintech,7,9471683,22.47360653,9,Poor,Yes,52,NA,9227110,25369601,0.42,55,277128,11,3,1,High
MSME_0054,28,IT Services,5,8982862,22.88968608,26,Average,Yes,94,NA,18400422,25461433,1.8,70,720227,6,5,4,Medium
MSME_0055,18,Healthcare,2,1968977,10.90421898,37,Good,Yes,74,NA,35971033,3114429,0.97,84,158825,5,4,3,High
MSME_0056,7,Fintech,7,851032,5.56723469,31,Average,Yes,50,NA,34617228,26019687,2.18,97,873232,1,1,5,High
MSME_0057,20,Fintech,7,2607728,13.91105918,35,Good,No,81,NA,18159867,12618761,1.14,50,860179,20,5,4,High
MSME_0058,24,Healthcare,2,9269987,18.90313164,9,Average,Yes,68,NA,4417260,12646349,1.71,85,229889,7,1,3,High
MSME_0059,22,AI Startups,8,1717278,26.15256997,12,Good,No,72,NA,29082434,9605382,1.35,68,991611,5,1,1,High
MSME_0060,6,IT Services,5,3077916,9.378803356,25,Good,No,62,NA,15504022,24357597,2.16,80,871408,16,3,5,High
MSME_0061,20,Healthcare,2,6639568,29.68946565,24,Poor,No,89,NA,35336039,9834711,1.39,53,916516,20,5,3,High
MSME_0062,26,Retail,3,4532329,11.77380312,15,Average,No,86,NA,35989140,25633026,1.35,61,727279,3,5,3,Medium
MSME_0063,25,IT Services,5,3813281,9.079752653,24,Average,Yes,51,NA,22666906,22571939,2.53,91,275239,3,1,4,High
MSME_0064,8,Healthcare,2,1878580,14.23439307,9,Poor,No,70,NA,26282316,24373175,0.16,69,694669,10,3,3,High
MSME_0065,6,Healthcare,2,2208940,18.72051566,50,Poor,Yes,97,NA,3034512,9705942,1.39,63,910827,15,4,1,High
MSME_0066,6,Healthcare,2,9752132,5.161907347,31,Good,No,100,NA,38322380,20170813,0.45,72,402783,11,5,2,High
MSME_0067,17,IT Services,5,1684310,29.02608715,47,Good,Yes,56,NA,15624838,16287542,1.89,66,338701,18,2,3,High
MSME_0068,16,AI Startups,8,9452555,21.54043497,19,Good,Yes,78,NA,13379609,8064341,2.85,70,921736,18,5,1,Medium
MSME_0069,27,IT Services,5,6788987,16.15670019,24,Poor,No,67,NA,14430509,12005794,2.33,59,413371,4,0,4,High
MSME_0070,11,Fintech,7,1723284,28.21521721,15,Average,Yes,59,NA,21320423,9740090,1.38,98,229081,15,5,1,High
MSME_0071,22,Manufacturing,4,1736826,12.03798812,36,Average,No,88,NA,17817069,1923591,2.46,93,558226,20,5,4,High
MSME_0072,16,AI Startups,8,1051556,7.2040177,33,Average,No,82,NA,48957375,3231894,2.45,77,250513,10,3,3,High
MSME_0073,14,AI Startups,8,7014443,9.895568301,12,Good,Yes,78,NA,39178410,27617106,1.5,88,658139,1,2,1,Medium
MSME_0074,20,Healthcare,2,4949653,9.174892615,45,Poor,No,95,NA,12168986,20314104,1,70,29535,6,4,5,High
MSME_0075,9,AI Startups,8,7542044,21.896938,27,Poor,No,87,NA,25488266,2133354,1.33,65,982947,9,0,5,High
MSME_0076,18,IT Services,5,6831384,10.28479679,46,Poor,Yes,89,NA,39923777,7977412,1.71,80,996887,13,5,1,High
MSME_0077,23,Healthcare,2,3772767,26.93924234,39,Good,Yes,50,NA,12841362,25971995,1.24,79,981276,17,3,5,High
MSME_0078,15,Fintech,7,5776196,24.49774311,25,Poor,No,83,NA,31452267,21218555,2.5,52,248837,17,2,2,High
MSME_0079,5,Retail,3,8713126,5.864287778,10,Good,Yes,70,NA,48052579,23620734,1.82,88,75391,18,3,1,High
MSME_0080,22,Fintech,7,4558544,20.30108283,10,Poor,No,69,NA,27178236,20469134,0.11,58,242469,13,4,4,High
MSME_0081,6,Retail,3,1822173,7.438150399,36,Average,Yes,96,NA,19491042,4846617,1.17,50,615561,10,5,5,High
MSME_0082,5,AI Startups,8,5599673,19.48433718,6,Good,No,81,NA,2342569,24050044,0.8,95,38004,17,3,5,Low
MSME_0083,9,Retail,3,6501975,19.09981833,18,Average,Yes,72,NA,49213051,19436241,1.21,78,692631,7,2,4,High
MSME_0084,25,Fintech,7,5327204,16.6391442,5,Good,Yes,79,NA,15847429,9483412,1.87,59,114763,11,2,4,High
MSME_0085,11,AI Startups,8,7096638,15.94167876,46,Average,No,93,NA,44397056,10048909,1.79,62,156376,19,5,3,Medium
MSME_0086,7,IT Services,5,6674720,26.66168684,43,Good,No,85,NA,8759165,9603196,1.07,64,704167,19,4,1,High
MSME_0087,7,Fintech,7,5607027,10.36381765,49,Average,No,84,NA,6818775,9905391,2.84,98,983705,1,3,1,Medium
MSME_0088,15,Healthcare,2,3881117,20.64719169,22,Good,Yes,70,NA,13432899,10845203,0.12,87,577678,8,5,5,High
MSME_0089,7,Healthcare,2,7992886,28.40212468,23,Poor,No,50,NA,28827872,3364885,1.89,58,651852,20,3,3,High
MSME_0090,30,AI Startups,8,2146335,14.52304682,49,Poor,Yes,72,NA,49138326,5009174,2.38,85,934617,10,0,5,High
MSME_0091,8,Healthcare,2,9912125,16.507265,20,Average,No,91,NA,32998093,25358682,1.52,77,14723,17,5,1,Medium
MSME_0092,12,Healthcare,2,9887562,26.11227671,16,Average,Yes,81,NA,6987974,6827862,0.19,57,684895,14,4,3,High
MSME_0093,20,Manufacturing,4,2806962,14.38783338,48,Poor,Yes,95,NA,32844153,28764728,0.9,60,910114,11,5,1,High
MSME_0094,16,AI Startups,8,4816859,24.94386557,42,Good,No,68,NA,2165521,9264778,0.26,56,374575,12,2,5,High
MSME_0095,30,Fintech,7,2556691,26.03692095,13,Average,No,50,NA,10418274,22884952,2.73,92,273315,5,0,3,High
MSME_0096,28,Healthcare,2,5158468,22.85700764,21,Poor,Yes,57,NA,23196667,29558371,0.46,82,777023,15,2,4,High
MSME_0097,21,Healthcare,2,6169042,10.74530832,11,Good,Yes,87,NA,16492262,10902598,0.36,53,200580,18,1,5,High
MSME_0098,14,Healthcare,2,7650318,21.70682797,37,Poor,No,73,NA,31300402,17525230,1.4,65,358277,7,2,4,High
MSME_0099,25,Retail,3,7959383,29.05318591,45,Poor,No,84,NA,12946882,29410054,1.12,97,646380,17,0,4,High
MSME_0100,8,AI Startups,8,1001070,19.45484721,47,Poor,Yes,52,NA,14384216,3981200,1.46,99,901041,8,3,2,High
MSME_0101,5,AI Startups,8,6792731,23.01780665,5,Good,No,72,NA,49516924,511148,0.54,96,624760,11,5,4,Low
MSME_0102,13,AI Startups,8,8910720,8.170454588,29,Average,Yes,93,NA,47386518,13573728,1.79,87,903344,6,3,2,Medium
MSME_0103,9,Manufacturing,4,6869838,22.404712,41,Poor,No,65,NA,25014708,5993061,1.6,66,526923,13,0,2,High
MSME_0104,8,Manufacturing,4,4045115,23.87462095,28,Good,Yes,56,NA,9991194,29750031,2.84,57,408997,7,1,5,High
MSME_0105,11,IT Services,5,5962523,16.09298937,6,Poor,Yes,52,NA,24549291,17116856,0.22,100,963450,3,4,5,High
MSME_0106,9,Healthcare,2,6563703,5.101668898,46,Average,No,86,NA,24535741,28922114,1.45,77,701382,19,5,4,Medium
MSME_0107,19,Fintech,7,9862636,6.262105426,48,Good,No,63,NA,27340521,6522665,2.2,74,86954,8,2,1,High
MSME_0108,20,IT Services,5,5366046,5.911190581,41,Good,Yes,91,NA,42786725,14768918,0.35,63,563647,14,0,4,High
MSME_0109,17,AI Startups,8,3753073,20.43977363,11,Good,Yes,51,NA,7299556,2648832,0.19,90,847016,19,4,2,High
MSME_0110,11,Manufacturing,4,3698533,20.1058291,8,Poor,Yes,91,NA,10757678,24031675,2.42,81,558889,16,4,4,Medium
MSME_0111,23,Healthcare,2,3527597,7.29247202,14,Poor,No,57,NA,11318898,4385593,2.97,81,927070,4,1,3,High
MSME_0112,7,Healthcare,2,9123598,27.15244406,15,Good,No,66,NA,4576123,14967173,0.58,100,220409,15,5,2,High
MSME_0113,19,Retail,3,4976343,10.81366936,36,Good,No,82,NA,5310994,19594417,0.98,84,121458,2,0,5,High
MSME_0114,11,Healthcare,2,626759,16.34601916,25,Good,Yes,96,NA,34628467,21870207,0.7,92,36814,16,2,3,High
MSME_0115,17,AI Startups,8,4998104,24.02650805,13,Good,Yes,61,NA,7454790,3060998,2.64,51,96175,7,1,4,High
MSME_0116,29,IT Services,5,8913846,13.60925938,38,Poor,No,72,NA,30192464,23832799,1.96,84,554249,20,0,2,High
MSME_0117,14,Manufacturing,4,7772847,19.21541789,40,Average,No,95,NA,40563011,14822469,1.75,92,407706,14,5,5,Medium
MSME_0118,10,IT Services,5,6995938,23.84587826,27,Poor,No,93,NA,9904450,18283600,0.71,97,470124,7,0,5,High
MSME_0119,24,Fintech,7,4912284,18.13545629,23,Average,Yes,61,NA,35539582,643190,1.05,76,621231,8,4,2,High
MSME_0120,17,Fintech,7,3886860,24.59309001,39,Average,No,84,NA,43417276,17914601,2.47,62,604554,3,2,4,Medium
MSME_0121,25,Fintech,7,7693288,5.302358101,34,Average,No,65,NA,36828542,4851637,1.99,65,316049,4,1,2,High
MSME_0122,18,Healthcare,2,5939547,15.33172014,42,Poor,No,71,NA,32228326,1671293,1.82,71,497145,12,1,5,High
MSME_0123,16,Healthcare,2,4079847,21.82796166,45,Average,No,80,NA,44540648,23591434,2.6,98,396629,18,3,2,Medium
MSME_0124,7,Retail,3,7507433,15.52499289,27,Good,No,74,NA,20223981,24868248,2.93,94,882050,4,4,1,High
MSME_0125,14,IT Services,5,7265231,18.25676985,6,Poor,No,85,NA,46578500,25990999,2.94,67,582805,5,4,3,Medium
MSME_0126,13,IT Services,5,1136937,7.971370004,39,Good,No,66,NA,3301096,21176228,0.41,84,898888,11,0,2,High
MSME_0127,27,AI Startups,8,1642573,23.706325,16,Average,Yes,63,NA,32133534,26454222,1.35,77,303132,19,1,5,High
MSME_0128,7,Fintech,7,7055279,8.330218322,42,Poor,Yes,87,NA,10706645,8267084,2.19,97,348441,16,2,1,High
MSME_0129,14,Fintech,7,4249032,10.80126884,42,Good,Yes,91,NA,10565040,18673999,2.74,95,629024,13,2,5,High
MSME_0130,21,Healthcare,2,5287779,26.77956966,39,Poor,No,93,NA,5677950,24753760,0.49,54,123502,19,1,1,High
MSME_0131,6,Manufacturing,4,7154537,18.01049082,26,Good,Yes,61,NA,41729073,1161618,0.28,60,595185,19,3,2,High
MSME_0132,13,Manufacturing,4,5143054,29.42208607,24,Poor,No,67,NA,12989055,26833302,1.97,81,320955,18,2,1,High
MSME_0133,11,Healthcare,2,2514292,9.029963494,24,Average,No,50,NA,36059629,23056283,0.87,58,157559,7,3,2,High
MSME_0134,8,IT Services,5,4114777,20.44789351,43,Poor,No,64,NA,8219552,9971691,1.98,100,917714,20,4,4,High
MSME_0135,29,Fintech,7,8206094,15.98839001,34,Poor,No,79,NA,2321387,16227842,2.74,88,722793,4,1,1,High
MSME_0136,22,AI Startups,8,6252609,6.08670721,14,Average,Yes,67,NA,13580693,12236412,0.58,51,808682,19,4,4,High
MSME_0137,20,AI Startups,8,8054761,15.79584821,27,Average,Yes,63,NA,12113496,16029486,1.97,69,734685,15,5,5,High
MSME_0138,26,Healthcare,2,6526511,22.46076242,15,Poor,No,65,NA,33804418,21454984,1.07,55,374801,11,5,1,High
MSME_0139,5,AI Startups,8,9057468,22.01753193,31,Poor,Yes,77,NA,2904454,27449191,0.92,55,23407,3,3,3,High
MSME_0140,7,Healthcare,2,9621357,27.34795578,40,Poor,No,85,NA,4769919,21889218,0.43,61,957008,12,1,2,High
MSME_0141,11,Healthcare,2,1918481,27.94447464,40,Good,No,73,NA,38676556,23210937,2.81,93,113187,14,3,5,High
MSME_0142,7,AI Startups,8,8262044,13.96061918,32,Good,No,87,NA,5009920,5993122,1.62,50,846551,5,5,5,High
MSME_0143,29,Fintech,7,1866584,24.05535005,24,Poor,No,99,NA,43767627,11196006,1.58,58,867540,3,4,3,High
MSME_0144,25,Retail,3,1023564,7.202385277,5,Good,No,81,NA,12757624,20090113,0.42,81,57042,1,0,4,High
MSME_0145,12,Healthcare,2,9015546,11.4139771,39,Good,Yes,57,NA,10306605,18386468,1.15,65,39323,7,0,2,High
MSME_0146,28,Manufacturing,4,1520038,11.44282108,13,Good,Yes,63,NA,24981630,21320303,2.35,63,664428,16,2,2,High
MSME_0147,22,Healthcare,2,7950862,8.059519472,30,Poor,Yes,63,NA,39850502,19057363,1.66,92,432959,4,3,3,High
MSME_0148,24,IT Services,5,5101937,5.433631511,47,Poor,Yes,72,NA,18918584,17339388,2.23,94,896367,3,3,5,High
MSME_0149,14,AI Startups,8,3111898,25.8033881,44,Good,Yes,71,NA,35645835,4195262,2.74,68,607589,3,4,2,High
MSME_0150,29,Fintech,7,1765836,18.835597,46,Average,No,85,NA,1903777,29797341,1.7,98,655200,9,3,3,High
MSME_0151,16,Retail,3,1572975,19.05320728,6,Average,No,75,NA,7307328,17709563,0.61,75,458964,20,3,1,High
MSME_0152,25,Manufacturing,4,1768902,9.002224905,25,Good,No,99,NA,14333872,25638310,0.71,50,872612,1,0,2,High
MSME_0153,12,Manufacturing,4,2102569,10.69134377,33,Good,No,76,NA,25718652,26972954,1.05,100,344597,19,5,5,High
MSME_0154,24,Retail,3,8048685,24.56548741,35,Average,Yes,74,NA,36804910,4855509,2.67,56,628252,7,2,5,High
MSME_0155,28,Healthcare,2,6021603,20.44287068,15,Average,No,72,NA,24149470,9379038,2.43,64,483612,12,0,2,High
MSME_0156,24,Healthcare,2,9057228,8.041243553,31,Good,Yes,57,NA,42107190,20931025,1.58,90,196026,7,5,5,High
MSME_0157,15,Manufacturing,4,2643330,21.15903431,11,Good,No,69,NA,14028796,6566282,1.05,74,474347,8,3,4,High
MSME_0158,22,Fintech,7,7557925,9.319892783,45,Average,Yes,68,NA,7025430,29406294,0.75,71,943548,16,2,5,High
MSME_0159,30,Manufacturing,4,1472475,24.43486003,30,Poor,No,50,NA,33592015,6606735,2.6,93,461752,5,2,2,High
MSME_0160,28,Healthcare,2,7573472,8.810326827,44,Poor,Yes,56,NA,19243129,26767154,1.11,61,452862,13,4,3,High
MSME_0161,5,Healthcare,2,7462936,9.172437844,24,Poor,No,58,NA,16088123,15480896,1.49,60,697664,9,0,3,High
MSME_0162,14,Healthcare,2,1848616,20.93489011,25,Average,Yes,69,NA,22726735,25712519,2.15,78,542422,19,4,5,High
MSME_0163,15,Fintech,7,7106270,24.78497622,5,Good,Yes,72,NA,28240194,12018826,1.06,96,562340,2,2,2,High
MSME_0164,9,AI Startups,8,8798978,27.79014132,7,Average,Yes,76,NA,25110558,25200644,2.5,98,332450,1,3,2,Medium
MSME_0165,20,Healthcare,2,7166149,15.70279879,25,Poor,No,60,NA,40537374,8692110,1.04,64,291803,3,5,5,High
MSME_0166,10,Retail,3,6907293,27.49806575,9,Poor,Yes,60,NA,28668472,21926004,2.62,56,793622,20,1,1,High
MSME_0167,20,AI Startups,8,3639820,12.82098992,46,Good,No,89,NA,25053865,12356209,2.4,73,148182,11,3,4,High
MSME_0168,13,Manufacturing,4,720872,17.66021061,18,Average,Yes,99,NA,24235689,5562155,2.81,59,489127,20,5,4,High
MSME_0169,6,Healthcare,2,5102779,23.38119412,5,Poor,No,67,NA,47235721,5689730,2.56,80,208153,17,1,2,High
MSME_0170,20,Manufacturing,4,8052444,9.580824524,46,Good,No,97,NA,6824140,12833923,2.03,57,899009,12,2,2,High
MSME_0171,7,Retail,3,3963818,18.72960059,37,Poor,Yes,98,NA,13729582,29289094,0.79,76,256636,11,3,3,High
MSME_0172,20,Manufacturing,4,1128600,11.68037146,35,Poor,Yes,83,NA,35634167,19588592,0.19,69,494967,2,4,4,High
MSME_0173,5,Manufacturing,4,1035100,24.11335009,9,Poor,Yes,80,NA,37635819,6772060,1.08,50,521449,5,5,4,High
MSME_0174,13,Retail,3,3714674,16.17129129,50,Good,Yes,80,NA,25709276,9519736,2.22,95,554195,10,5,1,High
MSME_0175,17,Healthcare,2,4288906,8.169570884,24,Average,No,64,NA,5115078,17448391,2.12,74,662021,2,2,1,High
MSME_0176,17,Fintech,7,7105437,22.00959704,44,Average,Yes,66,NA,47253085,5678377,1.17,93,488595,7,2,1,High
MSME_0177,21,IT Services,5,1018527,21.8666858,20,Average,No,77,NA,45879452,6265638,2.39,87,277628,4,2,1,High
MSME_0178,14,AI Startups,8,1509933,9.208855744,20,Average,No,71,NA,24559188,10057609,2.05,81,518917,1,2,2,High
MSME_0179,20,Fintech,7,6820391,9.101032017,30,Good,Yes,53,NA,47979301,5639415,2.07,73,274486,1,5,4,High
MSME_0180,25,IT Services,5,8675427,18.2344479,13,Average,No,85,NA,14164197,26708302,2.58,92,322120,10,0,5,Medium
MSME_0181,25,Manufacturing,4,6123487,27.07897249,31,Poor,Yes,68,NA,9961374,9514798,1.63,70,754119,7,4,2,High
MSME_0182,18,Manufacturing,4,1529896,28.02145729,43,Good,Yes,88,NA,42089121,24421395,0.63,63,924422,1,1,5,High
MSME_0183,21,IT Services,5,2283118,20.76977576,22,Poor,Yes,77,NA,31571262,24064293,0.31,90,161746,11,2,5,High
MSME_0184,5,Healthcare,2,1422816,21.6319782,12,Good,Yes,91,NA,14861252,3885307,2.55,85,708450,13,5,1,High
MSME_0185,12,AI Startups,8,3634508,7.67679869,23,Poor,Yes,50,NA,20220374,15166683,2.07,96,898816,10,4,1,High
MSME_0186,12,Healthcare,2,8236382,19.05085283,25,Good,Yes,50,NA,14854638,24813577,1.96,61,439357,9,4,4,High
MSME_0187,26,Fintech,7,8845408,22.08337699,9,Good,Yes,89,NA,30468793,15096406,2.99,89,410052,9,4,5,Medium
MSME_0188,24,IT Services,5,836744,18.23186597,31,Good,No,54,NA,36741366,6231715,1.17,88,907516,20,3,2,High
MSME_0189,28,Healthcare,2,3119977,15.53672093,33,Good,Yes,58,NA,45893510,17721333,2.62,70,906113,13,2,4,High
MSME_0190,21,Manufacturing,4,4329913,9.278740899,49,Poor,Yes,81,NA,24464757,29474132,2.37,79,135250,2,2,5,High
MSME_0191,12,Healthcare,2,1530763,12.68096158,47,Average,Yes,85,NA,21606680,14152363,0.37,98,993020,9,3,4,High
MSME_0192,21,Fintech,7,4127468,22.84059221,35,Good,Yes,95,NA,37564384,7798768,0.42,51,335617,2,5,5,High
MSME_0193,26,Fintech,7,3304319,15.9498336,40,Average,Yes,64,NA,23960130,8258309,2.92,61,46582,15,4,4,High
MSME_0194,6,Retail,3,7141032,6.400592408,9,Good,No,59,NA,1131612,7560882,1.3,81,135040,7,0,5,High
MSME_0195,21,AI Startups,8,2557572,25.42341242,44,Average,No,93,NA,12338934,529534,0.78,82,959000,8,1,1,High
MSME_0196,20,AI Startups,8,3552952,22.04109309,31,Average,No,97,NA,25356315,13648025,1.17,53,293043,5,5,4,High
MSME_0197,27,AI Startups,8,1293585,16.53215437,18,Poor,Yes,60,NA,40521126,2328506,2.01,62,126358,19,1,1,High
MSME_0198,30,AI Startups,8,6617957,24.36951934,45,Poor,Yes,60,NA,2794165,25270829,1.76,99,625609,19,5,3,High
MSME_0199,19,Healthcare,2,1962652,8.926934994,36,Poor,No,83,NA,10158440,1654210,1.37,92,888512,1,5,1,High
MSME_0200,14,AI Startups,8,8541600,21.31036049,50,Average,No,97,NA,16994048,13902990,0.63,85,387389,14,1,2,Medium
MSME_0201,13,Retail,3,4247424,5.551356659,19,Good,Yes,70,NA,20864138,22260599,2.02,100,140731,18,1,5,High
MSME_0202,9,Manufacturing,4,6471396,18.74267976,46,Good,No,53,NA,24926279,21570455,1.88,54,719834,8,3,2,High
MSME_0203,10,Manufacturing,4,8610446,19.0636792,18,Poor,Yes,98,NA,25725658,9013751,0.13,55,159355,9,1,1,High
MSME_0204,15,Manufacturing,4,5642633,18.64940353,33,Average,No,73,NA,7724269,24317672,0.17,87,945858,7,0,1,High
MSME_0205,15,Healthcare,2,8159826,7.689000928,15,Poor,Yes,93,NA,30464652,22224043,1.75,85,934751,2,4,4,Medium
MSME_0206,15,IT Services,5,7687457,6.346468181,12,Average,No,70,NA,44151351,15803917,1.01,72,743628,6,4,5,High
MSME_0207,12,Retail,3,2807361,5.915706392,50,Good,Yes,97,NA,6362242,20280584,1.96,85,526131,15,4,5,High
MSME_0208,9,IT Services,5,1929909,6.322873707,34,Good,Yes,51,NA,10514577,24343283,0.4,97,216818,19,3,1,High
MSME_0209,24,Fintech,7,6921198,11.78469724,34,Average,Yes,51,NA,2020511,4332554,1.28,60,253677,3,2,4,High
